"","prov","ninos_bajoPesoNacer","ind_VIA","ninos_desnuCroni","ninos_anem","ind_DdE","ind_DDHH","deve_activi","deve_inver"
"96","YAROWILCA",5.46528803545052,0.785781502723694,25.1145038167939,29.4326241134752,0.59524857286578,0.300668529919315,1701.36105861384,437.281401355774
"97","CHANCHAMAYO",4.99001996007984,0.385697245597839,14.98120942945,32.517866959868,0.685092255218974,0.478648032961303,2311.30741875064,549.33470930515
"98","CHUPACA",7.43380855397149,0.376328349113464,20.3094777562863,47.1183013144591,0.722347832430318,0.510284435266002,1551.75756699861,385.754275967094
"99","CONCEPCIÓN",8.68200836820083,0.466232657432556,19.4089104543449,34.149855907781,0.718534101957442,0.453853110513058,2137.01212120307,1230.29995893193
"100","HUANCAYO",7.11494252873563,0.311340689659119,16.6510406900431,34.5267287886219,0.801218653857147,0.576126155747245,4576.20026791913,398.214719463383
"101","JAUJA",7.61194029850746,0.371942639350891,20.4074208803201,87.5613747954174,0.767767284549554,0.500636544184358,2375.45676567936,560.339609906204
"102","JUNÍN",8.75,0.418663144111633,21.7986314760508,47.4945533769063,0.729149738596116,0.431471860723871,4951.16498079132,395.344787120282
"103","SATIPO",5.93325092707046,0.620284557342529,24.6811224489796,30.1057770545159,0.580724481390792,0.393847202784345,2250.35178200643,672.347905520692
"104","TARMA",7.07298720842739,0.378807246685028,16.4230769230769,50.9324758842444,0.751872388553982,0.477457888731104,1952.33418361785,399.018138710996
"105","YAULI",11.01243339254,0.311466753482819,18.013468013468,91.2778904665314,0.777554922411021,0.636860163344852,2501.37272759451,1140.99929255746
"106","PROVINCIA DE LIMA",5.23781085385275,0.26692008972168,4.60594289611552,30.3695667346687,0.833233515272911,0.725512871501011,7408.89690265508,472.4336370756
"107","BARRANCA",4.22094841063054,0.167416751384735,7.30322239830956,10.5465414175918,0.807259586808981,0.630704295977288,2374.66824358091,290.180619014795
"108","CAJATAMBO",3.125,0.595305263996124,20,43.9024390243902,0.762130009906785,0.384518578224376,6587.65658199818,1099.91445486518
"109","CANTA",5.85106382978723,0.433940887451172,9.08152734778122,25.462962962963,0.773958457087596,0.568441901944859,7617.48376017765,1319.23783661934
"110","CAÑETE",4.75581692661723,0.191181480884552,10.1065035123499,29.3132734773113,0.753108714631712,0.684562180648377,1906.96533953622,499.55904757657
"111","HUARAL",5.16684607104413,0.219606757164001,8.3570412517781,15.6666666666667,0.762989182787519,0.632245619233628,1552.9967358394,387.079094426572
"112","HUAROCHIRÍ",4.17469492614001,0.327566981315613,13.2935662547934,31.3475997686524,0.749701690587848,0.551932831420412,1589.51500691348,1476.08062178091
"113","HUAURA",4.25595238095238,0.217093229293823,10.122230710466,17.2696868349042,0.781724241988271,0.650962551949398,2751.91273213354,433.915848412233
"114","OYÓN",6.25,0.330512046813965,17.3007246376812,51.1811023622047,0.811443170175861,0.577020074336882,3134.90448420708,3281.25983197861
"115","YAUYOS",5.70175438596491,0.526198089122772,23.2232232232232,61.1888111888112,0.80702793970973,0.446639148512079,3071.30457314585,2263.83871739695
"116","DANIEL ALCIDES CARRIÓN",7.06106870229008,0.646860718727112,17.2502574665294,44.7552447552447,0.647394802167753,0.369968545187911,2877.89711440245,4107.13217689119
"117","OXAPAMPA",6.24360286591607,0.539350867271423,19.6808510638298,41.8604651162791,0.654613329186424,0.42782213065429,2248.77425151526,946.610928661
"118","PASCO",9.79760809567617,0.358296811580658,20.0828530259366,59.9290780141844,0.755069992335804,0.545533872036433,5957.75738230025,1024.05060323255
"119","ATALAYA",8.34141610087294,0.600740075111389,30.716934487021,38.5263157894737,0.489314119312462,0.326395408705732,2078.13954753161,891.916403801407
"120","CORONEL PORTILLO",7.99274486094317,0.365361332893372,16.8375,48.6894968433135,0.663976632633741,0.523483840595505,3174.22236284072,597.230578103977
